City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,gebeit,21.0667,36.3167,28.3,23,21,0.44,SD,1719714283
268,nizhnesortymskiy,62.4397,71.7603,11.99,64,0,5.2,RU,1719714285
269,la'ie,21.6477,-157.9253,27.81,70,8,1.79,US,1719714286
270,horta,38.5333,-28.6333,21.68,84,95,3.58,PT,1719714287
271,black river,18.0264,-77.8487,27.02,83,91,1.3,JM,1719714288
272,labuan bajo,-8.4964,119.8877,29.38,66,61,2.74,ID,1719714290
273,kirensk,57.7853,108.1119,29.23,45,46,1.16,RU,1719714291
274,khvoynaya,58.9,34.5333,13.39,91,2,2.19,RU,1719714292
275,gaya,24.7833,85.0,25.95,100,75,3.09,IN,1719714293
276,khanabad,36.6825,69.1156,32.38,24,0,1.25,AF,1719714296
277,coahuayana de hidalgo,18.7,-103.6583,25.14,88,100,1.31,MX,1719714297
278,bang saphan,11.2126,99.5117,29.26,71,92,1.9,TH,1719714299
279,sinop,41.7711,34.8709,14.66,82,0,2.07,TR,1719714300
280,enewetak,11.3474,162.3373,28.27,78,25,6.35,MH,1719714301
281,san rafael,-34.6177,-68.3301,8.28,30,6,4.19,AR,1719714302
282,camabatela,-8.1881,15.375,14.16,78,4,1.09,AO,1719714304
283,sidi slimane,34.2648,-5.926,18.06,86,2,1.36,MA,1719714305
284,sligo,54.2697,-8.4694,10.38,80,100,5.12,IE,1719714306
285,isangel,-19.55,169.2667,24.06,69,75,3.09,VU,1719714308
286,ha'il,27.5219,41.6907,25.01,20,0,1.03,SA,1719714309
287,san antonio de pale,-1.4014,5.6325,23.94,81,95,5.96,GQ,1719714310
288,san pedro del parana,-26.8333,-56.2,4.48,86,22,1.88,PY,1719714311
289,mulvane,37.4745,-97.2439,28.22,61,100,9.26,US,1719714313
290,eyl,7.9803,49.8164,26.95,62,68,10.71,SO,1719714314
291,kailua-kona,19.6406,-155.9956,27.98,88,75,5.66,US,1719714315
292,zalari,53.5584,102.5065,26.93,44,0,3.2,RU,1719714318
293,champerico,14.3,-91.9167,25.18,90,100,4.68,GT,1719714319
294,sorong,-0.8833,131.25,28.67,76,69,3.43,ID,1719714321
295,cadale,2.7603,46.3222,25.2,84,98,7.98,SO,1719714322
296,rio grande,-32.035,-52.0986,5.53,72,19,7.77,BR,1719714323
297,bandarbeyla,9.4942,50.8122,27.2,60,88,12.76,SO,1719714324
298,nordhorn,52.4333,7.0833,16.64,95,100,3.33,DE,1719714326
299,tromso,69.6496,18.957,13.01,71,75,9.77,NO,1719714327
300,kudahuvadhoo,2.6708,72.8944,28.03,74,26,2.26,MV,1719714328
301,arkhangel'sk,64.5401,40.5433,21.06,73,40,4.0,RU,1719714329
302,ballina,-28.8667,153.5667,25.99,62,0,4.74,AU,1719714331
303,yarmouth,41.7057,-70.2286,21.72,87,75,6.69,US,1719714333
304,khalilabad,26.775,83.0736,31.63,63,98,0.68,IN,1719714089
305,constitucion,-35.3333,-72.4167,9.93,61,100,3.18,CL,1719714336
306,nambour,-26.6333,152.95,24.92,81,0,0.89,AU,1719714153
307,keflavik,64.0049,-22.5624,10.95,87,75,7.2,IS,1719714338
308,hovd,48.0056,91.6419,24.96,31,4,0.29,MN,1719714339
309,el calafate,-50.3408,-72.2768,-4.6,89,100,0.86,AR,1719714341
310,vernon,50.2581,-119.2691,26.36,40,100,2.24,CA,1719714342
311,hermanus,-34.4187,19.2345,11.0,86,6,2.84,ZA,1719714343
312,hammerfest,70.6634,23.6821,14.25,82,100,5.66,NO,1719714344
313,sharanga,57.1775,46.5396,13.2,74,4,1.8,RU,1719714346
314,saint-pierre,-21.3393,55.4781,16.82,55,0,2.06,RE,1719714347
315,guozhen,34.3659,107.359,32.95,31,28,3.09,CN,1719714348
316,guerrero negro,27.9769,-114.0611,19.79,77,7,7.5,MX,1719714350
317,whakatane,-37.9585,176.9854,14.93,65,100,1.75,NZ,1719714353
318,midvagur,62.0511,-7.1939,8.46,93,100,7.2,FO,1719714354
319,lycksele,64.5954,18.6735,8.57,87,19,1.03,SE,1719714355
320,lewistown,40.5992,-77.5714,23.93,100,40,0.0,US,1719714356
321,grande prairie,55.1667,-118.8027,20.1,52,75,5.66,CA,1719714358
322,zaysan,47.4667,84.8667,23.95,52,100,4.47,KZ,1719714359
323,ust-tsilma,65.441,52.1498,16.57,78,34,2.84,RU,1719714360
324,kirkwall,58.9848,-2.9587,10.54,93,100,6.17,GB,1719714361
325,opuwo,-18.0607,13.84,13.2,46,0,1.5,NA,1719714363
326,aasiaat,68.7098,-52.8699,2.25,96,100,7.11,GL,1719714364
327,itaituba,-4.2761,-55.9836,26.09,94,0,1.54,BR,1719714365
328,sampit,-2.5333,112.95,24.55,96,100,0.33,ID,1719714366
329,el nido,11.1858,119.3956,29.57,71,95,1.02,PH,1719714368
330,mogadishu,2.0371,45.3438,25.57,83,90,7.5,SO,1719714369
331,kiunga,-6.1219,141.2906,26.88,84,90,1.3,PG,1719714370
332,newman,37.3138,-121.0208,35.16,39,0,0.89,US,1719714372
333,bubaque,11.2833,-15.8333,27.08,84,81,5.9,GW,1719714375
334,santa cruz,-17.8,-63.1667,17.7,34,100,6.69,BO,1719714376
335,naracoorte,-36.9579,140.7383,10.67,69,100,4.97,AU,1719714377
336,pangoa,-12.1167,-73.0,19.83,95,99,1.44,PE,1719714378
337,sydney,-33.8679,151.2073,14.28,91,75,9.26,AU,1719714234
338,perry,37.2506,-83.1999,29.4,89,100,1.68,US,1719714381
339,bu'aale,1.0833,42.5833,21.29,97,98,2.55,SO,1719714383
340,szeghalom,47.0333,21.1667,21.1,58,48,2.92,HU,1719714384
341,kilindoni,-7.9139,39.6668,25.44,74,19,7.26,TZ,1719714385
342,k'asp'i,41.9252,44.4257,16.94,85,100,1.86,GE,1719714387
343,berdigestyakh,62.0989,126.6992,22.96,34,95,2.87,RU,1719714388
344,tashtagol,52.7657,87.8894,24.73,68,76,2.75,RU,1719714389
345,saint-philippe,-21.3585,55.7679,16.77,69,24,3.02,RE,1719714390
